Timestamp,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor)
2026-03-01 00:15:00,0.06312256,0.12400000,0.21951950,0.00274114,0.00000000,0.18427059,0.38284290,9.28139114,0.20373870,0.14934206,0.48426437,29.18732071,0.15578665,0.14558715,0.24905236,0.15539156,0.14159854,0.22821344,0.14712164,0.11321785,0.13584010,0.09741553,0.18354467,0.47811019,0.28847632
2026-03-01 00:30:00,0.04060163,0.19506779,0.41618931,0.00027666,0.00000000,0.15860796,0.30061379,6.87549210,0.16136681,0.14313261,0.44908229,28.53109932,0.14006440,0.12250406,0.19728978,0.12953296,0.12786549,0.17939927,0.12288043,0.10597184,0.11243188,0.08468141,0.16748139,0.41253728,0.25546798
2026-03-01 00:45:00,0.00744705,0.27088889,0.17856070,0.00000460,0.00000000,0.16866139,0.32945770,8.39386845,0.17397062,0.13942230,0.42756787,58.30310059,0.13301510,0.13202165,0.22454076,0.14358775,0.12025593,0.18231907,0.12237265,0.11245290,0.12239335,0.09292152,0.18426576,0.47424966,0.28834879
2026-03-01 01:00:00,0.10310040,0.23466671,0.38281360,0.00498343,0.00000000,0.17388757,0.34123954,8.18118000,0.18227845,0.14035340,0.41580305,28.98847961,0.13328931,0.13403586,0.22472103,0.14347540,0.13077378,0.20961149,0.14185664,0.11894910,0.13970160,0.10060722,0.17191167,0.43053871,0.26424855
2026-03-01 01:15:00,0.07496897,0.29082429,0.41702160,0.00082821,0.00000000,0.18314949,0.34314388,6.92140818,0.18918623,0.16446865,0.49948663,30.46184921,0.16689704,0.14200178,0.22941379,0.15079409,0.13629252,0.19199429,0.12953947,0.11788753,0.12765558,0.09597635,0.18646351,0.47639078,0.29029262
2026-03-01 01:30:00,0.07940282,0.28377780,0.35012311,0.00346125,0.00000000,0.17084785,0.34934846,8.90615368,0.18485329,0.15636317,0.44139463,27.67540932,0.15742438,0.13281189,0.22246303,0.13995379,0.13558741,0.19558837,0.13221839,0.11722688,0.13521148,0.09840518,0.16367055,0.41038787,0.24959446
2026-03-01 01:45:00,0.07317720,0.24088889,0.33766779,0.00409679,0.00000000,0.15790249,0.32093230,10.02033997,0.16747665,0.14926767,0.50581717,66.44074249,0.15434733,0.11739267,0.18876328,0.11996770,0.13556793,0.20567815,0.13280709,0.10340133,0.10968082,0.08484686,0.16346577,0.41220224,0.25050327
2026-03-01 02:00:00,0.06471563,0.15466671,0.45004871,0.00514524,0.00000000,0.16329888,0.32630128,8.81561279,0.17325301,0.14518660,0.52335274,31.27202034,0.15760638,0.12629819,0.21061401,0.13362463,0.13578954,0.19156194,0.12316865,0.10051104,0.09910100,0.07904442,0.17774008,0.45952147,0.27660578
2026-03-01 02:15:00,0.05408268,0.22395021,0.42577550,0.00124996,0.00000000,0.17758891,0.36074570,8.71586418,0.18639810,0.14532420,0.49909681,32.20302963,0.15676060,0.14073044,0.23532461,0.15234591,0.14011990,0.21970829,0.14187306,0.10976640,0.12568556,0.09275357,0.18263312,0.48289493,0.28955418
2026-03-01 02:30:00,0.09255099,0.21444440,0.47317591,0.00074336,0.00000000,0.16117881,0.33408540,8.24140072,0.17050274,0.15437785,0.45073792,27.38902092,0.15521677,0.12594970,0.22119190,0.13824731,0.13523512,0.18328077,0.12419835,0.10828146,0.10928669,0.08338017,0.17746507,0.46648121,0.28023821
2026-03-01 02:45:00,0.04326499,0.30444440,0.31739569,0.00423303,0.00000000,0.15408766,0.30275947,8.82622147,0.15895607,0.13416792,0.38743776,27.47787094,0.12971078,0.11632394,0.19191587,0.12150317,0.12112191,0.14929612,0.10743759,0.10387005,0.09295376,0.07548814,0.14705233,0.36646494,0.22248088
2026-03-01 03:00:00,0.04718372,0.22444440,0.60921508,0.00093960,0.00000000,0.17923227,0.35928437,7.30478621,0.18601553,0.14138043,0.44393188,31.20572090,0.14001426,0.14838749,0.25696185,0.16438618,0.12944248,0.15782650,0.11351065,0.11354997,0.11686935,0.09076540,0.18380289,0.45756295,0.28122494
2026-03-01 03:15:00,0.09418432,0.17085090,0.62040329,0.00374668,0.00000000,0.14657864,0.28814512,10.14923954,0.14798327,0.14313191,0.48835596,27.82085037,0.14622810,0.11150414,0.18478882,0.11933348,0.13113026,0.15994619,0.11125067,0.10327309,0.10758151,0.08272548,0.14562467,0.37238654,0.22614117
2026-03-01 03:30:00,0.10122900,0.20955560,0.45012751,0.00695952,0.00000000,0.15905744,0.31857255,8.73072910,0.16861036,0.13899526,0.48177969,28.28937912,0.14230086,0.12401956,0.21285360,0.13420233,0.13433373,0.18165529,0.12462804,0.10598154,0.09947410,0.07962084,0.16696082,0.43670610,0.26272291
2026-03-01 03:45:00,0.09379995,0.13133331,0.57344502,0.00087982,0.00000000,0.15834007,0.30912933,8.54751968,0.15977643,0.14343710,0.51375300,59.06526947,0.14834568,0.12257352,0.20831746,0.13403292,0.12537657,0.13190025,0.09379742,0.10778247,0.10515878,0.08490729,0.14449139,0.33868286,0.21338247
2026-03-01 04:00:00,0.07077622,0.20151080,0.43406129,0.00019752,0.00000000,0.15431562,0.29746839,7.19099522,0.15493247,0.13785465,0.46326292,29.38574982,0.13567729,0.12211717,0.19366045,0.12926339,0.13088159,0.19039683,0.12834421,0.10266214,0.09774503,0.08010736,0.17578250,0.44264892,0.27069551
2026-03-01 04:15:00,0.11046590,0.17377780,0.48960310,0.00277770,0.00000000,0.16384524,0.33227837,8.46637535,0.17297643,0.13843346,0.42947793,29.20395088,0.13083628,0.12909199,0.22594732,0.14122745,0.12653136,0.18120120,0.12609863,0.10045157,0.09334368,0.07772686,0.19022834,0.50496131,0.30216336
2026-03-01 04:30:00,0.05209814,0.21111110,0.46793079,0.00059759,0.00000000,0.17583980,0.34405270,7.41840601,0.18275046,0.13767231,0.49088740,28.02622986,0.14202225,0.14117587,0.24167414,0.15527776,0.13165821,0.18697062,0.12551643,0.10679428,0.11055034,0.08636420,0.18603091,0.48025116,0.29161030
2026-03-01 04:45:00,0.07321879,0.22172850,0.49202600,0.00032295,0.00000000,0.19350539,0.40916422,8.45571804,0.21530205,0.14681785,0.48386946,30.88838959,0.14887585,0.15959458,0.27685264,0.17511865,0.13576978,0.21083651,0.13738683,0.11543089,0.13679734,0.09890418,0.19701013,0.51663965,0.31162331
2026-03-01 05:00:00,0.04388366,0.26133329,0.33630240,0.00020273,0.00000000,0.19294113,0.39216492,7.32539988,0.20960024,0.15523916,0.64950877,33.32307053,0.17089531,0.15735149,0.27288052,0.17351964,0.15349844,0.20373003,0.13382545,0.11684225,0.14328359,0.10178919,0.20080589,0.51539183,0.31415263
2026-03-01 05:15:00,0.05943572,0.18600000,0.57318127,0.00275849,0.00000000,0.20054051,0.40320817,6.63094187,0.21251144,0.15842819,0.49766785,68.89501190,0.15413775,0.16778663,0.28004703,0.18420945,0.13356705,0.21237457,0.13717537,0.12103406,0.14528917,0.10627086,0.21747175,0.56881493,0.34429702
2026-03-01 05:30:00,0.03596831,0.31859589,0.35893151,0.00040094,0.00000000,0.21003428,0.41762388,7.32737017,0.22610837,0.16310674,0.51761830,29.42465019,0.16514961,0.17390360,0.28989694,0.18808351,0.14974166,0.20084447,0.14187351,0.12070566,0.14756811,0.10624498,0.23724738,0.58838034,0.36206636
2026-03-01 05:45:00,0.04486563,0.31733331,0.37936181,0.00176274,0.00000000,0.18296367,0.36588949,8.02955246,0.19556871,0.15159950,0.49354741,29.09960938,0.15057130,0.14765297,0.25022104,0.16024460,0.14269556,0.20963161,0.14328778,0.11711811,0.13423969,0.10037576,0.20173822,0.51552486,0.31366026
2026-03-01 06:00:00,0.08271638,0.21622220,0.51452291,0.01500862,0.00000000,0.17671780,0.35805786,8.77993774,0.18929584,0.14232978,0.51145440,28.67111969,0.14831847,0.13916242,0.23655669,0.15007550,0.13287336,0.17271642,0.11741053,0.10837580,0.11506899,0.08822280,0.16505833,0.42581233,0.25647184
2026-03-01 06:15:00,0.06677153,0.26083091,0.40555841,0.00273371,0.00000000,0.19009654,0.37084055,7.31290102,0.20211983,0.14638349,0.45297197,28.37235069,0.14703600,0.15491438,0.26402521,0.17083187,0.12526092,0.16942100,0.11701373,0.12110018,0.14501838,0.10387108,0.20687559,0.53915715,0.32783452
2026-03-01 06:30:00,0.07619427,0.16177779,0.49466920,0.00081792,0.00000000,0.18353584,0.35032877,6.92648077,0.19092517,0.14425431,0.54517937,29.60754967,0.15313548,0.14598165,0.24192055,0.15836746,0.13755596,0.16740133,0.11534292,0.11198830,0.12711072,0.09391665,0.19272079,0.50624144,0.30469680
2026-03-01 06:45:00,0.11897280,0.21888889,0.44783199,0.00293414,0.00000000,0.17985535,0.34949240,7.05722380,0.18715230,0.15124123,0.52074367,68.43517303,0.15184039,0.14424179,0.23953754,0.15639310,0.14072102,0.21344924,0.14150667,0.11647297,0.13490622,0.10031942,0.21148472,0.54268712,0.33140862
2026-03-01 07:00:00,0.06499933,0.32703841,0.42519841,0.00017153,0.00000000,0.18465529,0.37572864,7.60009003,0.19743353,0.14809446,0.50797552,29.21554947,0.15265565,0.15235640,0.26204845,0.16803299,0.14631787,0.23035333,0.15328273,0.11960285,0.14041460,0.10405780,0.21057084,0.55303019,0.33412555
2026-03-01 07:15:00,0.03595284,0.25999999,0.38653919,0.00031592,0.00000000,0.21437138,0.42423686,7.65077114,0.23627996,0.15837233,0.54533064,27.53033066,0.15965439,0.17372938,0.30226633,0.19190399,0.14557295,0.22491606,0.14696655,0.12152961,0.15374166,0.10810081,0.24916220,0.66521996,0.40051213
2026-03-01 07:30:00,0.04066560,0.30859810,0.32898989,0.00077952,0.00000000,0.19621044,0.39098957,8.93977356,0.21193230,0.14602794,0.52482545,25.82917023,0.14934713,0.15855974,0.26490736,0.17089818,0.14478464,0.23542480,0.15200266,0.11516660,0.13712263,0.09984834,0.21531582,0.57611895,0.34484529
2026-03-01 07:45:00,0.05392542,0.17600000,0.42809519,0.00098698,0.00000000,0.20430958,0.39363897,7.15843201,0.21491298,0.15853286,0.52828187,29.49255943,0.15924507,0.16828479,0.28369603,0.18430406,0.14748159,0.22587939,0.14974408,0.12326987,0.14257522,0.10636185,0.22783066,0.61412096,0.36623311
2026-03-01 08:00:00,0.03858495,0.31244439,0.30588391,0.00217031,0.00000000,0.20749974,0.42232499,8.89809704,0.22711776,0.16004178,0.51590806,27.55586052,0.15943386,0.17561266,0.30471361,0.19451521,0.15493052,0.23669472,0.16027537,0.13557601,0.17397475,0.12463171,0.25504789,0.67536128,0.40637740
2026-03-01 08:15:00,0.06828327,0.23461451,0.46907499,0.00737416,0.00000000,0.19679394,0.37641978,7.44720411,0.21115330,0.16581516,0.67667639,29.21202087,0.18646085,0.15920806,0.26448768,0.17139281,0.17122801,0.23599564,0.15610205,0.12490144,0.14917603,0.11057071,0.24160674,0.63963181,0.38490459
2026-03-01 08:30:00,0.04952219,0.13088889,0.49483660,0.00231647,0.00000000,0.22087713,0.43414670,7.10386801,0.24114716,0.16761129,0.80366957,30.95376968,0.19540982,0.18111262,0.29766372,0.19447705,0.19376472,0.26357645,0.17527299,0.14151174,0.18448466,0.13473915,0.26372856,0.69653618,0.42113367
2026-03-01 08:45:00,0.07608098,0.22955561,0.32452911,0.00010306,0.00000000,0.21955793,0.42621294,6.82330084,0.23756735,0.17130953,0.66151333,29.11784935,0.18216950,0.17706914,0.29063964,0.18889579,0.18275253,0.29886407,0.19453298,0.13343652,0.16310035,0.12048133,0.27217793,0.71832782,0.43343925
