Timestamp,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor)
2026-03-01 00:15:00,0.05539574,0.10688890,0.38286471,0.00297351,0.00000000,0.26314661,0.18673001,43.81356812,0.12907544,0.27223685,0.19517347,26.77983093,0.13536769,0.00540870,0.04705412,0.03368636,0.00835050,0.05138217,0.03682777,0.27249485,0.12427896,0.13542117,0.00423140,0.00537317,0.00374330
2026-03-01 00:30:00,0.02078226,0.12708290,0.31032279,0.00095374,0.00000000,0.25587547,0.20382670,39.77159882,0.12779424,0.26886839,0.19165477,31.46549034,0.12931488,0.00515946,0.05018592,0.03640749,0.00888224,0.04643392,0.03384787,0.28540632,0.11805293,0.13364474,0.00428166,0.00536460,0.00381997
2026-03-01 00:45:00,0.02396006,0.11155560,0.35824889,0.00258795,0.00000000,0.26204237,0.21165718,41.15151978,0.12839031,0.27969810,0.19335312,41.60617065,0.13277751,0.00504483,0.04818133,0.03605305,0.00953827,0.05019885,0.03613761,0.27756971,0.12351684,0.13569456,0.00431680,0.00559413,0.00390409
2026-03-01 01:00:00,0.07736561,0.09664519,0.40749130,0.00116105,0.00000000,0.26814556,0.19853586,36.50777817,0.13185157,0.27208599,0.20158257,37.11994171,0.13220046,0.00476467,0.05422506,0.03825939,0.01781155,0.05548684,0.03854383,0.28047594,0.11377360,0.13405263,0.00523668,0.00657388,0.00461825
2026-03-01 01:15:00,0.06755425,0.09444445,0.43220991,0.00380564,0.00000000,0.27736050,0.24314493,45.35977936,0.13880435,0.27113587,0.23626882,32.04256058,0.13390635,0.00478537,0.05626695,0.04212742,0.02124354,0.05536950,0.04004313,0.26865029,0.11382324,0.12822381,0.00541500,0.00644441,0.00459287
2026-03-01 01:30:00,0.04541217,0.17285050,0.39868531,0.00182820,0.00000000,0.26606911,0.18625313,50.54061890,0.12893276,0.26655516,0.18422480,31.69392014,0.12789313,0.00451665,0.04934872,0.03475579,0.00764434,0.04917151,0.03494592,0.27881038,0.13029887,0.13899559,0.00440791,0.00562935,0.00391693
2026-03-01 01:45:00,0.00747028,0.12822220,0.33384690,0.00000093,0.00000000,0.26729265,0.23651922,50.43962097,0.13053432,0.27487513,0.19084235,58.43254089,0.13206002,0.00454055,0.05129809,0.03954474,0.00966192,0.04902655,0.03498004,0.26982081,0.11994374,0.13123621,0.00445798,0.00597609,0.00413935
2026-03-01 02:00:00,0.01564661,0.10553210,0.31935221,0.00000085,0.00000000,0.26406524,0.23144624,44.75551987,0.13686007,0.27225253,0.28462347,31.97590065,0.13515209,0.00500826,0.05868206,0.04218544,0.03198942,0.04941561,0.03674801,0.27417839,0.11545504,0.13484927,0.00542064,0.00750610,0.00510332
2026-03-01 02:15:00,0.02310626,0.10066670,0.35751241,0.00093210,0.00000000,0.26353905,0.19884951,31.69378090,0.12776883,0.27647746,0.20636556,44.61154938,0.13691401,0.00526655,0.04781450,0.03550548,0.01382496,0.05263714,0.03697089,0.27723679,0.12199269,0.13535519,0.00537696,0.00815840,0.00559468
2026-03-01 02:30:00,0.02020943,0.07553877,0.41424811,0.00068365,0.00000000,0.26761949,0.21274565,46.07226944,0.13278565,0.28179786,0.28874815,18.32053947,0.14828818,0.00546823,0.05062538,0.03709350,0.04473487,0.05954493,0.04428172,0.28077921,0.11714498,0.13358472,0.00603825,0.00937142,0.00621743
